airline_sentiment,is_reply,reply_count,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
neutral,FALSE,0,0,Trabajar en #Ryanair como #TMA: https://t.co/ruUArBe1tO #empleo,,Fri Nov 03 12:05:12 +0000 2017,926419989107798016,,Madrid
neutral,TRUE,0,0,@Iberia @FIONAFERRER Cuando gusten en Cancún se viaja y disfruta de manera sin igual,,Sun Nov 26 18:40:28 +0000 2017,934854385577943041,,Mexico City
negative,FALSE,0,0,"Sabiais que @Iberia te trata muy bien en santiago de chile?Te cambia el asiento,te manda a volar en el wc trasero,e… https://t.co/uansbOnn69",,Mon Dec 25 15:40:45 +0000 2017,945318406441635840,,Madrid
negative,FALSE,0,0,"NUNCA NUNCA NUNCA pidáis el café de Ryanair.
Bueno, nada que vendan a bordo.",,Mon Nov 06 14:18:35 +0000 2017,927540721296568320,,Pacific Time (US & Canada)
positive,TRUE,0,0,@cris_tortu @dakar @Iberia @Mitsubishi_ES @BFGoodrichEU @BurgosTur @ASTIntlogistics @Uremovil @karbium Muchos éxito… https://t.co/Ed9VrKyVU7,,Mon Jan 01 23:00:57 +0000 2018,947965901332197376,,Buenos Aires
positive,TRUE,0,0,"@mgd_1970 Wow que bonito , yo solo he volado unas 3 o 4 veces en un 747 de @Iberia y siempre fue a tu tierra :)",,Mon Jan 01 21:15:34 +0000 2018,947939379317788672,"Mojácar, España",Madrid
neutral,FALSE,0,0,Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡… https://t.co/WuuJr2dOGE,,Thu Dec 21 17:18:03 +0000 2017,943893340617166849,,
positive,FALSE,0,0,Barómetro #Business: Iberia (57%) y Vueling (61%) son las compañías aéreas más utilizadas en los #viajes de… https://t.co/jl80ib9JYr,,Mon Dec 18 19:04:41 +0000 2017,942833013129449473,,
positive,TRUE,0,0,@Iberia Felicitaciones IBERIA!,,Thu Dec 14 17:18:06 +0000 2017,941356636488298497,,
neutral,TRUE,0,0,"@cbellolio @Iberia @NuevoPudahuel Chuata, yo tengo un Madrid - Stgo en un par de semanas. Habrá que cruzar los dedos!",,Sat Dec 02 02:03:13 +0000 2017,936777743500324864,,Santiago
neutral,FALSE,0,0,"Disponibilidad aérea Internacional en los siguientes destinos:
 ✈ARGENTINA-GOL AIRLINES 600$
 ✈MADRID-IBERIA AIRLIN… https://t.co/jjIvKQBEaS",,Thu Nov 30 15:48:49 +0000 2017,936260738666115073,,
neutral,FALSE,0,0,Ahora... https://t.co/f3pEPIg2OI,,Sun Dec 17 14:59:16 +0000 2017,942408864003166208,,
neutral,FALSE,0,0,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/uOlJ07jA3l",,Tue Nov 21 01:48:32 +0000 2017,932787782317170688,,
neutral,FALSE,0,0,"Air France KLM, al igual que Iberia, eliminó la duplicidad de avales de las agencias | Nexotur https://t.co/zHSwQ0B4ZB",,Mon Jan 08 15:01:21 +0000 2018,950381917710508032,,Madrid
negative,FALSE,0,0,Un año de estos nos unirán con el resto de iberia. ¿No decían en Cataluña que el AVE en Galicia no era rentable? https://t.co/qDPzFbc5oT,,Mon Nov 13 08:59:07 +0000 2017,929997038472892416,,Madrid
negative,TRUE,0,0,@Alpaniagu Lo de ryanair es penoso...yo sólo viajo con ellos si no tengo otra alternativa...,,Thu Jan 04 19:27:40 +0000 2018,948999389967716352,,Greenland
negative,TRUE,0,0,"@Iberia Además, he intentado hacer d nuevo la compracon otra tarjeta y no me lo permite aunq en la tarjeta tenga di… https://t.co/ik1qsMfrrE",,Sat Nov 25 10:22:08 +0000 2017,934366584910512128,,
